ID,"Added on","Lead Name","Sales Rep Name","Is Closed"
88,2023-02-05,"Ms. Gisselle Lowe","Garry Smith",0
89,2023-06-15,"Amelia Armstrong","Garry Smith",0
90,2023-02-27,"Chesley Luettgen","Garry Smith",1
91,2024-01-11,"Dr. Dashawn Miller","Garry Smith",0
92,2023-12-18,"Modesta Bauch","Garry Smith",0
93,2023-08-19,"Vincenza Corkery","Garry Smith",0
94,2023-06-18,"Maritza Stracke","Garry Smith",0
95,2023-10-15,"Reina Abernathy","Garry Smith",1
96,2023-03-10,"Randi Rath","Garry Smith",1
97,2023-07-04,"Ottis Glover","Garry Smith",1
98,2023-08-22,"Samantha Green III","Garry Smith",1
99,2023-07-08,"Gerhard Pacocha","Garry Smith",1
100,2023-09-09,"Kiera Shanahan","Garry Smith",1
101,2023-03-18,"Bartholome Turner","Peter Parker",1
102,2023-09-22,"Prof. Werner Reilly","Peter Parker",1
103,2023-08-01,"Makenna Murazik","Peter Parker",0
104,2023-02-18,"Estel Abbott","Peter Parker",1
105,2023-07-15,"Jared Satterfield","Peter Parker",0
106,2023-06-21,"Dr. Tyrese Legros I","Peter Parker",0
107,2023-03-26,"Miss Alexanne Greenholt","Peter Parker",1
108,2023-11-28,"Floy Rau","Peter Parker",1
109,2023-02-07,"Ms. Alivia Huel Jr.","Peter Parker",0
110,2023-04-27,"Roxane Graham","Peter Parker",0
111,2023-05-24,"Mr. Deshawn Roberts PhD","Peter Parker",0
112,2023-02-05,"Mr. Porter Torp II","Peter Parker",0
113,2023-02-10,"Percival Klocko","Peter Parker",1
114,2023-12-01,"Mr. Demarco Jerde","Peter Parker",1
115,2023-02-15,"Valerie Lubowitz","Peter Parker",0
116,2023-07-24,"Elenor Prohaska","Peter Parker",0
117,2023-12-30,"Betty Torp","Peter Parker",0
118,2023-11-26,"Franz Sanford","Peter Parker",0
119,2023-09-14,"Dr. Magnolia Collier II","Peter Parker",0
120,2023-11-28,"April Koelpin","Peter Parker",0
121,2024-01-10,"Aurelie Brakus","Peter Parker",0
122,2023-07-21,"Alena Luettgen","Peter Parker",0
123,2023-03-25,"Eden Rohan","Peter Parker",1
124,2023-11-02,"Rylan Pacocha","Peter Parker",1
125,2023-04-29,"Mr. Anthony Wuckert DVM","Peter Parker",1
126,2023-12-20,"Johan O'Reilly","Peter Parker",1
127,2023-05-24,"Dr. Sammy Upton PhD","Peter Parker",0
128,2023-12-31,"Edmund Koss DDS","Peter Parker",0
129,2023-04-28,"Corene Mitchell","Peter Parker",0
130,2023-08-25,"Watson Ebert PhD","Peter Parker",0
131,2023-06-01,"Dr. Krystel Keeling MD","Peter Parker",0
132,2023-10-07,"Markus Macejkovic","Peter Parker",1
133,2023-02-19,"Prof. Shyanne Balistreri","Peter Parker",0
134,2023-06-03,"Giovanny Hartmann","Peter Parker",1
135,2023-10-18,"Jeff Spencer","Peter Parker",0
136,2023-08-21,"Armando Botsford","Peter Parker",1
137,2023-03-29,"Zoey Torphy IV","Peter Parker",1
138,2023-02-19,"Ernestina Rogahn","Peter Parker",0
139,2023-06-23,"Lucius Crooks","Peter Parker",0
140,2023-03-29,"Annabell Larson","Peter Parker",1
141,2023-07-19,"Kelli Ernser","Peter Parker",0
142,2023-04-10,"Roxanne Ruecker","Peter Parker",1
143,2023-04-02,"Kenyatta O'Keefe","Peter Parker",1
144,2023-03-08,"Ms. Chelsea Johnston","Peter Parker",1
145,2023-08-31,"Bertrand Rau","Peter Parker",1
146,2023-02-14,"Beatrice Ullrich Sr.","Peter Parker",0
147,2023-03-03,"Demond Gleichner","Peter Parker",1
148,2023-03-16,"Isom Nitzsche Jr.","Peter Parker",1
149,2023-06-07,"Bobbie Ullrich IV","Peter Parker",0
150,2023-04-06,"Delores Keebler","Peter Parker",0
151,2023-09-25,"Prof. Bria Collier","Peter Parker",0
152,2023-06-11,"Emilie Konopelski","Peter Parker",0
153,2023-05-06,"Zander Heathcote","Peter Parker",0
154,2023-08-02,"Kasandra Hand","Peter Parker",0
155,2024-01-02,"Ms. Stephanie Raynor","Peter Parker",0
156,2023-06-21,"Mr. Cornell Thompson I","Peter Parker",1
157,2023-07-02,"Bette Tremblay","Peter Parker",0
158,2023-02-15,"Dianna Streich","Peter Parker",0
159,2023-10-29,"Dr. Alexzander Frami Jr.","Peter Parker",0
160,2023-03-30,"Brigitte Gibson","Peter Parker",0
161,2023-08-13,"Bria Considine","Peter Parker",0
162,2023-10-05,"Marilie Hayes","Peter Parker",1
163,2023-04-02,"Laurine Moore","Peter Parker",0
164,2023-07-01,"Prof. Sterling Hilpert Jr.","Peter Parker",0
165,2023-04-23,"Sanford Ortiz","Peter Parker",0
166,2023-08-14,"Timmy Mueller","Peter Parker",1
167,2023-02-09,"Kasey Beier","Peter Parker",0
168,2023-12-05,"Dr. Jamil Ullrich","Peter Parker",1
169,2023-03-02,"Dortha Little DVM","Peter Parker",1
170,2023-09-03,"Mrs. Elinore Howell","Peter Parker",0
171,2023-05-04,"Mr. Gus Waelchi Sr.","Peter Parker",1
172,2023-06-07,"Rogelio Doyle PhD","Peter Parker",1
173,2023-08-28,"Dr. Murphy Hayes V","Peter Parker",1
174,2023-06-12,"Harmon Wintheiser","Peter Parker",1
175,2023-08-07,"Mr. Dino Wolf II","Peter Parker",0
176,2023-12-26,"Scotty Blanda","Peter Parker",1
177,2023-08-11,"Vernice Raynor","Peter Parker",0
178,2023-11-14,"Gladys Kemmer","Peter Parker",0
179,2023-03-01,"Preston Grady","Peter Parker",1
180,2023-09-12,"Muhammad Cummings","Peter Parker",0
181,2023-08-03,"Jaiden Gleason","Peter Parker",1
182,2023-11-20,"Sonny Abernathy PhD","Peter Parker",1
183,2023-07-05,"Damaris Lockman V","Peter Parker",1
184,2023-12-27,"Dr. Genesis Quitzon V","Peter Parker",0
185,2023-07-29,"Ms. Trycia Baumbach DDS","Peter Parker",0
186,2023-12-30,"Anita Zieme","Peter Parker",0
187,2023-07-29,"Reilly Schuppe","Peter Parker",0
188,2023-12-20,"Bradley Kerluke DDS","Peter Parker",1
189,2023-09-09,"Lurline Goyette","Peter Parker",0
190,2023-04-12,"Isaias Lebsack","Peter Parker",1
191,2023-12-04,"Jaylon Mante","Peter Parker",1
192,2023-12-08,"Prof. Mozelle Nitzsche Sr.","Peter Parker",1
193,2023-07-15,"Mr. Devyn O'Conner","Peter Parker",0
194,2023-05-15,"Emilie Ritchie Sr.","Peter Parker",1
195,2023-06-20,"Prof. Beulah Homenick","Peter Parker",0
196,2023-06-10,"Emmanuel Stokes","Peter Parker",0
197,2023-04-05,"Payton Brown","Peter Parker",0
198,2023-10-19,"Danielle Weissnat Jr.","Peter Parker",0
199,2023-02-19,"Dr. Emanuel Stanton","Peter Parker",1
200,2023-02-28,"Nyasia Hills Sr.","Peter Parker",1
201,2023-07-15,"Jamie Brekke","Tony Stark",1
202,2023-12-30,"Miss Danielle Kuvalis V","Tony Stark",1
203,2023-05-01,"Chandler Miller V","Tony Stark",0
204,2023-09-03,"Dr. Melyna Schaden II","Tony Stark",1
205,2023-08-19,"Margaretta Kuvalis","Tony Stark",1
206,2023-12-09,"Reilly Walsh","Tony Stark",1
207,2023-12-16,"Aletha Rippin","Tony Stark",0
208,2023-05-11,"Casandra Kiehn","Tony Stark",1
209,2023-12-14,"Garett Smitham","Tony Stark",0
210,2023-09-27,"Abraham Botsford","Tony Stark",0
211,2023-02-28,"Johnson Larkin DVM","Tony Stark",1
212,2023-07-14,"Ms. Dawn Senger","Tony Stark",0
213,2023-05-21,"Damaris Hirthe","Tony Stark",1
214,2023-07-22,"Taya Trantow III","Tony Stark",0
215,2023-06-18,"Dr. Alana Hoeger","Tony Stark",1
216,2023-09-21,"Georgiana McDermott","Tony Stark",1
217,2024-01-11,"Mr. Felix Bergstrom Sr.","Tony Stark",1
218,2023-12-20,"Miss Loyce Spencer MD","Tony Stark",0
219,2023-06-08,"Dr. Jaylan Klocko Sr.","Tony Stark",1
220,2023-05-29,"Brandyn Lowe","Tony Stark",0
221,2023-07-03,"Dr. Mckenzie Lesch","Tony Stark",1
222,2023-02-20,"Prof. Roselyn Ernser","Tony Stark",0
223,2023-12-26,"Ms. Nellie Turcotte","Tony Stark",1
224,2023-06-21,"Prof. Dahlia Greenholt MD","Tony Stark",1
225,2023-03-11,"Jade Gislason","Tony Stark",1
226,2023-03-21,"Edwin Rau MD","Tony Stark",0
227,2023-07-21,"Leora Halvorson","Tony Stark",1
228,2023-05-09,"Clara Koepp V","Tony Stark",0
229,2023-03-28,"Keeley Koelpin","Tony Stark",1
230,2024-01-08,"Dr. Aisha Collins DDS","Tony Stark",1
231,2023-05-01,"Mrs. Edna Dickinson","Tony Stark",0
232,2023-05-20,"Roberto Effertz","Tony Stark",0
233,2023-09-14,"Toby Sawayn","Tony Stark",0
234,2023-12-19,"Shemar Labadie I","Tony Stark",0
235,2024-01-24,"Reanna Howell","Tony Stark",1
236,2023-06-05,"Ezequiel Pollich","Tony Stark",0
237,2023-09-26,"Candido Hermiston","Tony Stark",1
238,2023-02-21,"Mr. Stone Jakubowski Sr.","Tony Stark",0
239,2023-07-26,"Dr. Rashawn Labadie","Tony Stark",0
240,2023-03-04,"Opal Rau Jr.","Tony Stark",1
241,2023-11-09,"Cristina Bednar","Tony Stark",1
242,2023-12-24,"Elinore Nienow","Tony Stark",0
243,2023-02-06,"Dannie Fay I","Tony Stark",0
244,2023-08-23,"Wallace Daugherty","Tony Stark",0
245,2023-07-08,"Randi Renner","Tony Stark",1
246,2023-08-16,"Luna Kassulke","Tony Stark",1
247,2023-02-14,"Beth Murray","Tony Stark",1
248,2023-07-07,"Lance Bechtelar","Tony Stark",1
249,2023-11-25,"Prof. Santino Bogisich Jr.","Tony Stark",0
250,2023-10-19,"Asia Boehm","Tony Stark",1
251,2023-08-30,"Carlee Kutch DDS","Tony Stark",0
252,2023-03-13,"Elyse Eichmann","Tony Stark",0
253,2023-05-22,"Ms. Vickie O'Keefe","Tony Stark",1
254,2023-05-30,"Dr. Sydney O'Hara Sr.","Tony Stark",1
255,2023-06-20,"Emma Ritchie","Tony Stark",1
256,2023-02-25,"Deon Price","Tony Stark",1
257,2024-01-15,"Mr. Raheem Klocko IV","Tony Stark",1
258,2023-12-01,"Prof. Russell Barton Jr.","Tony Stark",1
259,2023-08-21,"Albina Murray III","Tony Stark",0
260,2023-05-20,"Raoul Brekke","Tony Stark",1
261,2023-05-02,"Prof. Tia Boyle I","Tony Stark",0
262,2023-03-16,"Joseph Robel","Tony Stark",0
263,2023-11-19,"Caleigh Hyatt","Tony Stark",1
264,2023-02-05,"Justine McLaughlin MD","Tony Stark",1
265,2023-04-06,"Noemy Rempel","Tony Stark",0
266,2023-11-13,"Joanne Larson","Tony Stark",0
267,2024-01-21,"Delia Runolfsdottir","Tony Stark",0
268,2023-07-15,"Lela Fritsch","Tony Stark",1
269,2023-08-27,"Raquel Connelly","Tony Stark",0
270,2023-09-26,"Davion Gibson PhD","Tony Stark",1
271,2023-02-09,"Joannie Ebert","Tony Stark",0
272,2023-05-21,"Mr. Eladio Legros","Tony Stark",1
273,2023-02-03,"Maynard Haley","Tony Stark",0
274,2023-02-28,"Miss Winona Wisoky V","Tony Stark",1
275,2023-02-01,"Chaz Fadel","Tony Stark",1
276,2023-10-14,"Aurelia Abshire","Tony Stark",0
277,2023-03-21,"Prof. Lewis Zulauf DVM","Tony Stark",1
278,2023-10-13,"Prof. Julien Klocko","Tony Stark",0
279,2023-09-14,"Francesco Bayer","Tony Stark",1
280,2023-07-03,"Jovani White","Tony Stark",0
281,2023-08-30,"Darius Reinger Jr.","Tony Stark",1
282,2023-02-10,"Prof. Jon Keeling MD","Tony Stark",0
283,2023-10-23,"Caroline Corkery","Tony Stark",0
284,2023-04-28,"Ms. Laurence Reynolds","Tony Stark",1
285,2023-09-07,"Prof. Brittany Thiel DDS","Tony Stark",1
286,2023-11-26,"Felicita Steuber","Tony Stark",1
287,2023-05-03,"Ashly Treutel","Tony Stark",1
288,2024-01-14,"Mr. Barrett Kassulke V","Tony Stark",0
289,2023-09-29,"Jamison Jenkins","Tony Stark",0
290,2023-08-31,"Violet Denesik Sr.","Tony Stark",0
291,2023-03-02,"Prof. Serena Grimes Sr.","Tony Stark",0
292,2023-09-05,"Christop Stiedemann","Tony Stark",0
293,2023-07-16,"Verona Schiller","Tony Stark",1
294,2023-10-12,"German Herzog","Tony Stark",0
295,2023-10-22,"Ottis Quitzon PhD","Tony Stark",0
296,2023-02-08,"Buddy Ondricka","Tony Stark",0
297,2023-05-05,"Keira Jakubowski","Tony Stark",0
298,2023-05-17,"Mrs. Ocie Schmeler PhD","Tony Stark",1
299,2023-03-16,"Mr. Mohammad Trantow III","Tony Stark",0
300,2024-01-27,"Mr. Antonio Leannon","Tony Stark",1
301,2023-12-08,"Triston Grimes","Steve Rogers",1
302,2023-11-15,"Prof. Trystan Terry IV","Steve Rogers",1
303,2023-05-10,"Ayla Nicolas","Steve Rogers",0
304,2023-11-12,"Shanon Kiehn PhD","Steve Rogers",1
305,2023-07-28,"Spencer Ortiz","Steve Rogers",0
306,2023-04-13,"Ethel Franecki PhD","Steve Rogers",0
307,2023-12-24,"Darian Johns","Steve Rogers",1
308,2023-10-05,"Ocie Botsford","Steve Rogers",1
309,2023-12-25,"Miss Freeda Koepp I","Steve Rogers",1
310,2023-03-07,"Miss Lily Sawayn DVM","Steve Rogers",0
311,2023-12-12,"Brionna Walsh","Steve Rogers",1
312,2023-03-27,"Cecil Herman V","Steve Rogers",1
313,2023-07-26,"Osvaldo Mante","Steve Rogers",0
314,2023-02-17,"Sarah Fritsch","Steve Rogers",1
315,2023-10-14,"Duncan Treutel I","Steve Rogers",1
316,2023-03-11,"Anabelle Bradtke","Steve Rogers",0
317,2023-06-24,"Allison Jaskolski","Steve Rogers",1
318,2024-01-22,"Ralph Powlowski MD","Steve Rogers",1
319,2023-04-28,"Dallas Schmidt","Steve Rogers",1
320,2023-05-28,"Travis Abernathy","Steve Rogers",0
321,2023-05-03,"Prof. Chance Boehm","Steve Rogers",0
322,2023-10-17,"Henry McCullough","Steve Rogers",1
323,2023-03-21,"Jules Mayert","Steve Rogers",0
324,2023-12-03,"Isabel Pagac DVM","Steve Rogers",1
325,2023-12-25,"Krystina Ernser","Steve Rogers",0
326,2023-10-06,"Mrs. Kenna Gaylord","Steve Rogers",1
327,2023-09-03,"Maryse Mante Jr.","Steve Rogers",1
328,2024-01-11,"Maynard Cummings Sr.","Steve Rogers",1
329,2023-10-26,"Anika Quitzon","Steve Rogers",0
330,2024-01-26,"Ms. Lia Greenholt IV","Steve Rogers",1
331,2023-10-18,"Breana Cummings Sr.","Steve Rogers",1
332,2023-06-23,"Keenan Quigley III","Steve Rogers",0
333,2023-04-08,"Davon Sipes","Steve Rogers",1
334,2023-04-03,"Bryon Davis","Steve Rogers",1
335,2023-05-11,"Prof. Davion Tillman Jr.","Steve Rogers",1
336,2023-12-01,"Miss Daphne Bashirian II","Steve Rogers",0
337,2023-02-17,"Dr. Orville Jacobson III","Steve Rogers",1
338,2023-02-02,"Leonie Thiel","Steve Rogers",1
339,2023-04-22,"Lois Jacobson","Steve Rogers",0
340,2023-04-06,"Ms. Minnie Spinka I","Steve Rogers",1
341,2023-08-23,"Ms. Gail Cruickshank II","Steve Rogers",1
342,2023-09-09,"Ms. Odie Gutmann","Steve Rogers",0
343,2024-01-17,"Dr. Nikita Corkery Jr.","Steve Rogers",0
344,2023-08-20,"Eloisa Hegmann","Steve Rogers",0
345,2023-03-16,"Giovanni Corwin","Steve Rogers",1
346,2023-07-10,"Mrs. Emie Walker","Steve Rogers",0
347,2023-07-07,"Dr. Kiel Rosenbaum","Steve Rogers",1
348,2023-10-03,"Corbin Bednar IV","Steve Rogers",0
349,2023-11-14,"Kiley Wisozk","Steve Rogers",0
350,2023-02-04,"Mr. Zachary Grady PhD","Steve Rogers",1
351,2023-08-23,"Consuelo Walker","Steve Rogers",1
352,2024-01-20,"Prof. Billy Bailey III","Steve Rogers",0
353,2023-05-16,"Mrs. Kirstin Konopelski PhD","Steve Rogers",0
354,2023-06-24,"Kaelyn Bartoletti","Steve Rogers",0
355,2024-01-06,"Hillary Heathcote","Steve Rogers",1
356,2023-02-18,"Giuseppe Gibson","Steve Rogers",1
357,2023-04-01,"Felton Kunze Jr.","Steve Rogers",0
358,2023-11-09,"Ms. Joanie Hackett","Steve Rogers",1
359,2024-01-29,"Miss Tiffany Kautzer","Steve Rogers",1
360,2023-12-07,"Liana Gorczany DDS","Steve Rogers",1
361,2023-08-30,"Tyrique Brown","Steve Rogers",1
362,2023-05-16,"Oscar Stamm Jr.","Steve Rogers",0
363,2023-12-09,"Nathan Hartmann","Steve Rogers",0
364,2024-01-10,"Mrs. Amara Jerde Sr.","Steve Rogers",1
365,2023-08-09,"Prof. Reina Buckridge IV","Steve Rogers",0
366,2023-04-04,"Larue Emmerich","Steve Rogers",0
367,2023-05-27,"Maegan Rowe","Steve Rogers",1
368,2023-08-18,"Omer Sporer IV","Steve Rogers",1
369,2023-04-21,"Margaretta Reichert","Steve Rogers",0
370,2023-07-28,"Miss Lessie Hagenes Jr.","Steve Rogers",1
371,2024-01-02,"Josiah Morissette","Steve Rogers",1
372,2023-08-01,"Noel Barrows","Steve Rogers",0
373,2023-03-02,"Dr. Adah Satterfield","Steve Rogers",0
374,2023-04-13,"Eula Schiller","Steve Rogers",1
375,2023-08-19,"Jackie Stehr","Steve Rogers",1
376,2023-05-30,"Prof. Kadin Wolf","Steve Rogers",1
377,2023-02-26,"Mathias Kiehn","Steve Rogers",1
378,2023-03-15,"Waino Boyer","Steve Rogers",0
379,2023-02-08,"Ms. Concepcion O'Conner II","Steve Rogers",1
380,2023-10-05,"Ms. Pearl Lind V","Steve Rogers",1
381,2023-09-11,"Ms. Sarah Sawayn I","Steve Rogers",1
382,2023-12-16,"Lois Russel II","Steve Rogers",1
383,2023-08-05,"Earnest Reynolds","Steve Rogers",1
384,2024-01-14,"Marco Buckridge","Steve Rogers",1
385,2023-07-18,"Prof. Brett Daugherty Jr.","Steve Rogers",0
386,2023-09-06,"Amos Boyle","Steve Rogers",0
387,2023-07-20,"Eduardo Stamm","Steve Rogers",0
388,2023-08-16,"Eleanora Spencer","Steve Rogers",1
389,2023-03-04,"Amara Dickinson","Steve Rogers",0
390,2023-03-02,"Laurie Marvin","Steve Rogers",0
391,2023-09-24,"Alphonso Goldner Jr.","Steve Rogers",0
392,2023-12-06,"Orval Schoen","Steve Rogers",1
393,2023-09-11,"Layla Kovacek","Steve Rogers",0
394,2023-10-22,"Chauncey Koelpin","Steve Rogers",0
395,2024-01-25,"Mrs. Alva Crooks","Steve Rogers",0
396,2023-09-19,"Lowell Walsh I","Steve Rogers",0
397,2023-07-03,"Amelie Goldner","Steve Rogers",1
398,2023-04-05,"Anibal Hills","Steve Rogers",0
399,2023-04-01,"Boyd Eichmann","Steve Rogers",1
400,2023-06-03,"Saige Funk DVM","Steve Rogers",1
401,2023-09-22,"Mrs. Myrtis Huels","Bruce Wayne",1
402,2023-10-13,"Brenna Sipes","Bruce Wayne",0
403,2024-01-03,"Mikayla Feeney","Bruce Wayne",1
404,2023-02-24,"Karolann Denesik Jr.","Bruce Wayne",1
405,2023-03-19,"Dr. Alfredo Leffler","Bruce Wayne",1
406,2023-11-08,"Ms. Florine King","Bruce Wayne",1
407,2023-04-11,"Claire Koelpin","Bruce Wayne",1
408,2023-12-26,"Mr. Cornelius Wolff","Bruce Wayne",1
409,2023-04-11,"Dr. Hank Runte I","Bruce Wayne",1
410,2023-05-29,"Blaise Kunde MD","Bruce Wayne",1
411,2023-05-21,"Dr. Cicero Muller MD","Bruce Wayne",1
412,2024-01-22,"Susan Lubowitz","Bruce Wayne",1
413,2023-09-11,"Angel Botsford","Bruce Wayne",0
414,2024-01-24,"Mr. Rene Goldner PhD","Bruce Wayne",0
415,2023-05-13,"Mallory Marks","Bruce Wayne",1
416,2023-05-23,"Aniyah Pollich","Bruce Wayne",1
417,2023-11-10,"Pascale Langworth","Bruce Wayne",0
418,2023-03-23,"Jarret Howe","Bruce Wayne",0
419,2023-04-13,"Mrs. Ida Parker Sr.","Bruce Wayne",1
420,2023-07-25,"Myriam Bartell","Bruce Wayne",0
421,2023-03-13,"Mr. Jesus Dooley","Bruce Wayne",0
422,2023-02-28,"Soledad White III","Bruce Wayne",0
423,2023-08-27,"Jorge Oberbrunner DVM","Bruce Wayne",1
424,2024-01-02,"Mr. Emerson Gerhold","Bruce Wayne",1
425,2023-10-26,"Hailee Wisozk","Bruce Wayne",1
426,2023-11-05,"Fae Zboncak","Bruce Wayne",0
427,2023-09-01,"Evalyn Gerhold","Bruce Wayne",0
428,2023-02-10,"Dr. Wilford Gislason V","Bruce Wayne",1
429,2024-01-26,"Heath Kirlin","Bruce Wayne",1
430,2023-12-19,"Ellis Keeling DDS","Bruce Wayne",0
431,2023-08-24,"Mandy Crooks","Bruce Wayne",0
432,2023-06-01,"Lesley Fritsch","Bruce Wayne",0
433,2023-05-28,"Miss Aletha Doyle","Bruce Wayne",0
434,2023-05-17,"Dr. Angelina Mraz Jr.","Bruce Wayne",1
435,2023-08-19,"Garnet Christiansen","Bruce Wayne",0
436,2023-02-22,"Barrett Ziemann","Bruce Wayne",0
437,2023-12-06,"Elinor Ebert MD","Bruce Wayne",1
438,2024-01-27,"Baby Kuphal Jr.","Bruce Wayne",1
439,2023-12-18,"Jacklyn Koelpin","Bruce Wayne",0
440,2023-09-07,"Baby Green","Bruce Wayne",1
441,2024-01-27,"Sarina Marvin MD","Bruce Wayne",0
442,2023-12-19,"Kenyon Halvorson","Bruce Wayne",0
443,2024-01-28,"Clint Runolfsdottir","Bruce Wayne",0
444,2024-01-25,"Julio Turcotte","Bruce Wayne",0
445,2023-09-29,"Murphy Ebert I","Bruce Wayne",0
446,2023-11-21,"Reece Lebsack","Bruce Wayne",1
447,2023-07-14,"Soledad Nolan","Bruce Wayne",0
448,2023-07-10,"Antonio Quigley","Bruce Wayne",0
449,2023-09-28,"Ms. Marjolaine Parker","Bruce Wayne",1
450,2023-05-29,"Milton Fritsch","Bruce Wayne",0
451,2023-09-21,"Mr. Garnett Bailey I","Bruce Wayne",0
452,2023-12-25,"Ivy Gaylord","Bruce Wayne",1
453,2023-12-24,"Emilie White","Bruce Wayne",1
454,2023-08-17,"Lauriane Mayert","Bruce Wayne",1
455,2023-06-16,"Aurelio Ryan MD","Bruce Wayne",0
456,2023-02-10,"Brendon Gleichner I","Bruce Wayne",1
